,GENEID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1130,ENSMUSG00000071454,Dtnb,957.203851942723,0.88601281506514,0.229339826294694,3.86331859311101,0.000111856968083,0.000604130176347
1131,ENSMUSG00000037315,Jade3,1276.70733813764,0.457304240067429,0.118410696096847,3.86201800294633,0.000112454277419,0.000606928177316
1132,ENSMUSG00000001569,Nom1,2277.44790084603,0.379582736006044,0.098326517747771,3.86043098749574,0.000113187206203,0.000610668699336
1133,ENSMUSG00000029389,Ddx55,533.32864362697,0.496405521678828,0.128851374629412,3.85254346805796,0.000116897216714,0.000629576184389
1134,ENSMUSG00000029655,N4bp2l2,3897.36572896152,0.503404702656557,0.130682969835334,3.85210638609504,0.000117106122026,0.000630479603191
1135,ENSMUSG00000037628,Cdkn3,520.421723736906,0.683626569128178,0.177576392450217,3.849760430964,0.000118233411058,0.000636325072797
1136,ENSMUSG00000061474,Mrps36,1413.66627167664,0.655658100259075,0.170511207536176,3.84524929318777,0.000120429939645,0.000647236977382
1137,ENSMUSG00000027167,Elp4,957.319661246406,0.666999923022131,0.173523711197817,3.84385464336773,0.000121116760684,0.00065024375163
1138,ENSMUSG00000020689,Itgb3,1432.17628819858,0.676130380969559,0.175961131115542,3.84249849204248,0.000121788162625,0.000653619231579
1139,ENSMUSG00000040167,Ikzf5,582.757845356547,0.488286726123696,0.127092467421965,3.84198006403098,0.000122045751273,0.000654772249473
1140,ENSMUSG00000031644,Nek1,1206.30822486287,0.553394177229862,0.144211586032404,3.83737668002289,0.00012435564784,0.000666464470949
1141,ENSMUSG00000064225,Paqr9,100.987338791197,1.15144157042058,0.300391398647826,3.83313761846594,0.000126519126473,0.000677585125939
1142,ENSMUSG00000039067,Psmd7,3444.51566070805,0.467900856419213,0.122124709602561,3.8313364915416,0.000127449060059,0.000681612169316
1143,ENSMUSG00000028803,Nipal3,230.366778280787,0.704896375392349,0.184105763790061,3.82875777966493,0.000128791685773,0.000688312020581
1144,ENSMUSG00000036840,Siah1a,845.131245444697,0.588043031493965,0.153595165365614,3.82852565765466,0.000128913193565,0.000688721097256
1145,ENSMUSG00000029601,Iqcd,38.150598283631,1.5676706019316,0.409678475639726,3.826587666056,0.000129931889425,0.000693679592307
1146,ENSMUSG00000037373,Ctbp1,647.56384741213,0.855024631150099,0.223494245144143,3.82571206967163,0.000130394626117,0.000695665095172
1147,ENSMUSG00000069919,Hba-a1,57867.3814864025,0.651373758803773,0.170266225061933,3.82561931214979,0.000130443737643,0.000695684794385
