"","GENEID","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2386","ENSMUSG00000034560","A230046K03Rik",2066.22812012657,-0.673545124191063,0.154730017061264,-4.35303464048852,1.34265925081326e-05,8.61924213944117e-05
"2387","ENSMUSG00000068686","Cd59b",173.881742547795,1.25584555610926,0.288581618673869,4.35178637461492,1.35032798794266e-05,8.66484029799653e-05
"2388","ENSMUSG00000094915","AC168977.2",119.345844506936,-2.05801549171226,0.47292354883321,-4.35168749111726,1.35093726269493e-05,8.66511978756207e-05
"2389","ENSMUSG00000005580","Adcy9",292.114776168307,0.704372856231097,0.16195071646235,4.34930373645397,1.36570447219058e-05,8.75617220617122e-05
"2390","ENSMUSG00000042510","AA986860",192.882469181272,1.8432656210698,0.423991758560546,4.347409080138,1.37755144673866e-05,8.82843326765525e-05
"2391","ENSMUSG00000047242","Taf9b",234.772412296032,0.944504682106651,0.217283787755647,4.3468713973673,1.38093130462093e-05,8.84639263608483e-05
"2392","ENSMUSG00000017002","Slpi",128.246246903127,-1.78656580241532,0.411057011219033,-4.34627254530235,1.38470498120434e-05,8.86685877805474e-05
"2393","ENSMUSG00000038047","Haus6",3108.44549677388,0.409549150394974,0.094299885091947,4.34305036528564,1.40517903506701e-05,8.99420279152586e-05
"2394","ENSMUSG00000024856","Cdk2ap2",235.143607236102,-0.723827695991003,0.166681530655232,-4.34257888768842,1.40819895749767e-05,9.00976751545188e-05
"2395","ENSMUSG00000020715","Ern1",831.221985989667,-0.645535192779836,0.148681954235782,-4.34171850980742,1.41372583722822e-05,9.04135225420651e-05
"2396","ENSMUSG00000021123","Rdh12",55.9617163411411,-2.35997727953094,0.543840157110438,-4.33946858957622,1.42827678974166e-05,9.13059916046454e-05
"2397","ENSMUSG00000058013","Sept11",737.194336106735,-0.603766042988671,0.139144709070011,-4.33912325537929,1.43052278109259e-05,9.14114202669806e-05
"2398","ENSMUSG00000026510","Trp53bp2",390.621005834494,-0.920408230287093,0.212157209979141,-4.33833113839301,1.43568729789397e-05,9.17031790735693e-05
"2399","ENSMUSG00000022684","Bfar",554.336736385445,-0.57338868022808,0.132195499109973,-4.33742967111974,1.44158639893336e-05,9.20415959669127e-05
"2400","ENSMUSG00000020834","Dhrs13",218.738629903282,0.952564428117503,0.219671809244389,4.33630710920106,1.44896463674442e-05,9.24741305875593e-05
"2401","ENSMUSG00000024816","Frmd8",331.806947554685,-0.815629150869436,0.188324635627793,-4.3309742676548,1.48451031541514e-05,9.470322574433e-05
"2402","ENSMUSG00000024353","Mzb1",8.34995866296619,-6.45997947459859,1.49179409006387,-4.33034258388971,1.48877542052504e-05,9.49357748383935e-05
"2403","ENSMUSG00000040771","Oard1",845.145035107943,0.564417470915371,0.130347601204105,4.3300948057462,1.49045159763291e-05,9.50031091175332e-05
"2404","ENSMUSG00000027180","Fbxo3",3002.5549370565,0.437645031087636,0.101096199930338,4.32899586126088,1.4979074834882e-05,9.53995764674956e-05
"2405","ENSMUSG00000040940","Arhgef1",2415.88686596565,-0.598411413090893,0.138233352556469,-4.32899442879704,1.49791722533347e-05,9.53995764674956e-05
