Gene_id	EKLF+/+ rep1	EKLF+/+ rep2	EKLF+/+ rep3	EKLF-/- rep1	EKLF-/- rep2	EKLF-/- rep3
Mgat4b	710	942	631	739	857	697
Mgat4c	1	0	0	0	0	0
Mgat5	142	234	117	186	65	136
Mgat5b	0	0	0	0	0	0
Mgea5	1951	2723	2089	2947	2027	2724
Mgl2	78	71	53	177	335	194
Mgll	758	958	985	50	39	55
Mgmt	46	98	52	80	130	82
Mgp	0	6	0	2	0	0
Mgrn1	502	724	558	680	676	703
Mgst1	132	219	175	307	472	363
Mgst2	75	108	93	153	356	214
Mgst3	1984	2714	2745	232	253	215
Mia1	3	2	3	2	1	2
Mia2	7	12	13	8	2	6
Mia3	877	1181	899	1313	993	1044
Miat	0	3	1	3	1	3
Mib1	685	1094	717	603	164	449
Mib2	169	266	151	326	443	364
Mical1	385	610	366	499	576	498
Mical2	78	105	74	136	76	110
Mical3	475	647	538	414	121	284
Micalcl	1	0	1	8	1	1
Micall1	293	510	285	281	213	318
Micall2	777	1174	845	1933	1640	1697
Micu1	701	1054	916	1018	1104	935
Mid1	16	16	18	488	4	460
Mid1ip1	730	931	776	699	746	621
Mid2	22	16	15	14	10	8
Midn	960	1533	951	1272	1268	1267
Mier1	1540	2020	1828	1753	949	1374
Mier2	288	300	227	269	296	293
Mier3	733	940	974	498	321	414
Mif	1742	3011	2200	3262	5256	3843
Mif4gd	372	533	406	496	530	421
Miip	465	566	428	630	697	639
Mill1	0	0	0	0	0	0
Mill2	0	1	0	0	0	2
Mina	524	707	618	708	673	617
Mink1	614	904	618	1287	851	1161
Minos1	1023	1238	1370	1514	2230	1593
Minpp1	1989	2374	2122	4773	4317	4555
Mios	694	892	886	738	524	759
